1,Item,,Description,Qty Now,Qty Coming in 7 Days,Qty Coming in 30 Days,,,,Cat 15-16,,Cat 16-17,,
812,CM3177BK-T-1,,"Round Dining Table, Black (17-P356)",7,,,,,847289052814,DSC,,.,,D
813,CM3177BK-T-2,,"Round Dining Table, Black (17-P356)",8,,,,,847289052821,DSC,,.,,D
815,CM3177WH-T,,"Round Dining Table, White (17-P356)",,,,,,939,DSC,,.,,D
816,CM3177WH-T-1,,"Round Dining Table, White (17-P356)",,,,,,847289052838,DSC,,.,,D
817,CM3177WH-T-2,,"Round Dining Table, White (17-P356)",,,,,,847289052845,DSC,,.,,D
819,CM3179T,,"DINING TABLE, GREY FINISH (14-P295)",,,,,,847289057147,.,,.,,D
868,CM3188PT-47,,"47"" Faux Marble Square Counter Ht. Table (17-P440)",,,,,,847289016335,440,,DSC,,D
870,CM3188RT-40,,ROUND DINING TABLE W/FAUX MARBLE (16-P347),,,,,,847289016342,DSC,,.,,D
874,CM3190T-5PK,,5 Pc. Dining Table Set (17-P391),16,,,,,841403111098,391,,DSC,,D
914,CM3206PC-CA-29-2PK,,[DSC] BAR CHAIR 29H =CM3206BC-29 (11-P214),,,,,,847289016533,.,,.,,D
915,CM3211PT-7PC,,[DSC] PUB TABLE + 6 PUB CHAIRS  (HIGHLAND II),,,,,,1046,.,,.,,D
916,CM3211T-7PC,,[DSC] TABLE + 6 CHAIRS (HIGHLAND I),,,,,,1051,.,,.,,D
1013,CM3258T,,"[DSC] Oval Dining table, cherry finish",,,,,,847289061762,.,,.,,D
1014,CM3258T-7PC,,"[VALUE] REG $433, DINING TABLE + 6 CHAIRS",,,,,,1116,.,,.,,D
1015,CM3273PC-2PK,,COUNTER HT. CHAIR (2/CTN) (18-P463),113,,,,,841403167491,SUP-172,,463,,D
1016,CM3273RPT,,ROUND COUNTER HT. TABLE (18-P463),55,,,,,841403167484,SUP-172,,463,,D
1018,CM3273RT,,ROUND DINING TABLE (18-P379),,,,,,841403167460,SUP-142,,379,,D
1020,CM3273SC-2PK,,SIDE CHAIR (2/CTN) (18-P379),78,,,,,841403167477,SUP-142,,379,,D
1035,CM3280PT-5PC,,[DSC] TABLE + 4 PUB CHAIRS (12-P260),,,,,,1133,.,,.,,D
1040,CM3290PT-5PK,,"[VALUE] REG $238, DESERT SAND COUNTER HT. TABLE w/ FAUX MARBLE TOP, DARK CHERRY (14-P33",,,,,,847289036081,.,,.,,D
1054,CM3316BK-PT-5PK,,Counter Height table faux marble top table with w/four barstool (15-P369),,,,,,847289056195,.,,.,,D
1055,CM3316GY-PT-5PK,,Counter Height table faux marble top table with w/four barstool (15-P369),,,,,,847289056188,.,,.,,D
1056,CM3318PC-2PK,,"Counter height chair w/Brown PU seat, Walnut finish (16-P439)",99,,,,,847289070795,DSC,,.,,D
1057,CM3318PT,,Counter height table Walnut finish (16-P439),44,,,,,847289070788,DSC,,.,,D
1060,CM3318SC-2PK,,"Side Chair w/Brown PU seat, Walnut finish (16-P354)",,,,,,847289070771,DSC,,.,,D
1061,CM3318T,,36*60 Dining table Walnut finish (16-P354),,,,,,847289070764,DSC,,.,,D
1222,CM3329SC-2PK,,"Side chair, silver finish (16-P280)",10,,,,,841403107015,DSC,,.,,D
1223,CM3329SV,,"Server, silver finish (16-P280)",,,,,,841403107022,DSC,,.,,D
1224,CM3329T,,"Dining table, silver finish (16-P280)",,,,,,841403107008,DSC,,.,,D
1228,CM3331PT-5PK,,"5 Pc. Counter Ht. Table Set, Brown Cherry (17-SUP-P176)",,,,,,841403136985,SUP-176,,DSC,,D
1230,CM3332PT-5PC,,COUNTER HT. TABLE + 4 CHAIRS (15-P287),,,,,,1251,.,,.,,D
1231,CM3332SC-2PK,,"SIDE CHAIR W/FABRIC CUSHION, WALNUT FINISH (16-P357)",,,,,,847289058472,DSC,,.,,D
